MUNICIPIO,NOMBRE
1,AMAXAC DE GUERRERO
2,APETATITLAN DE ANTONIO CARVAJAL
3,APIZACO
4,ATLANGATEPEC
5,ATLTZAYANCA
6,CALPULALPAN
7,EL CARMEN TEQUEXQUITLA
8,CUAPIAXTLA
9,CUAXOMULCO
10,CHIAUTEMPAN
11,MUÑOZ DE DOMINGO ARENAS
12,ESPAÑITA
13,HUAMANTLA
14,HUEYOTLIPAN
15,IXTACUIXTLA DE MARIANO MATAMOROS
16,IXTENCO
17,MAZATECOCHCO DE JOSE MARIA MORELOS
18,CONTLA DE JUAN CUAMATZI
19,TEPETITLA DE LARDIZABAL
20,SANCTORUM DE LAZARO CARDENAS
21,NANACAMILPA DE MARIANO ARISTA
22,ACUAMANALA DE MIGUEL HIDALGO
23,NATIVITAS
24,PANOTLA
25,SAN PABLO DEL MONTE
26,SANTA CRUZ TLAXCALA
27,TENANCINGO
28,TEOLOCHOLCO
29,TEPEYANCO
30,TERRENATE
31,TETLA DE LA SOLIDARIDAD
32,TETLATLAHUCA
33,TLAXCALA
34,TLAXCO
35,TOCATLAN
36,TOTOLAC
37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS
38,TZOMPANTEPEC
39,XALOZTOC
40,XALTOCAN
41,PAPALOTLA DE XICOHTENCATL
42,XICOHTZINCO
43,YAUHQUEMEHCAN
44,ZACATELCO
45,SANTA APOLONIA TEACALCO
46,SANTA CRUZ QUILEHTLA
47,SAN JUAN HUACTZINCO
48,SANTA CATARINA AYOMETLA
49,SANTA ISABEL XILOXOXTLA
50,SAN JOSE TEACALCO
51,SAN FRANCISCO TETLANOHCAN
52,LA MAGDALENA TLALTELULCO
53,SAN DAMIAN TEXOLOC
54,EMILIANO ZAPATA
55,LAZARO CARDENAS
56,SAN JERONIMO ZACUALPAN
57,SAN LUCAS TECOPILCO
58,SANTA ANA NOPALUCAN
59,SAN LORENZO AXOCOMANITLA
60,BENITO JUAREZ
